,year_x,rank_x,country,regional indicator_x,ladder score_x,log GDP per capita_x,social support_x,healthy life expectancy_x,freedom to make life choices_x,generosity_x,perceptions of corruption_x,dystopia + residual_x,whisker-high_x,whisker-low_x,year_y,rank_y,regional indicator_y,ladder score_y,log GDP per capita_y,social support_y,healthy life expectancy_y,freedom to make life choices_y,generosity_y,perceptions of corruption_y,dystopia + residual_y,whisker-high_y,whisker-low_y,Change_of_ladder_score,Change_of_ftmlc_rate,Change_of_poc_rate,Change_of_ss_rate,lockdown,_merge
54,2023,56,Portugal,Western Europe,5.968,1.758,1.356,0.537,0.693,0.031,0.037,1.556,6.076,5.86,2020,59,Western Europe,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,6.015089989,5.806710243,0.05709988400000032,0.10310481099999991,0.009266534,0.016469651000000196,Full,both
55,2023,57,South Korea,East Asia,5.951,1.853,1.188,0.603,0.446,0.112,0.163,1.587,6.04,5.862,2020,61,East Asia,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,5.958806515,5.785993099,0.07860019299999976,0.18664365,0.068403718,0.05443946199999994,Full,both
56,2023,58,Greece,Western Europe,5.931,1.708,1.247,0.535,0.248,0.008,0.097,2.089,6.024,5.838,2020,77,Western Europe,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352,2.016179085,5.606986046,5.423013687,0.4160001339999999,0.07448365200000001,0.048155648,0.07802643500000017,Full,both
57,2023,59,Mauritius,Sub-Saharan Africa,5.902,1.589,1.382,0.336,0.574,0.121,0.11,1.79,6.013,5.791,2020,49,Sub-Saharan Africa,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,6.213463783,5.989135742,-0.19929976299999996,-0.016838134000000005,0.025911771,-0.013666838000000014,Partial,both
58,2023,60,Thailand,Southeast Asia,5.843,1.515,1.344,0.461,0.624,0.291,0.013,1.594,5.969,5.717,2020,54,Southeast Asia,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,6.082288742,5.91531086,-0.15579980099999968,0.01455019599999996,-0.018837862000000004,-0.003519516999999972,Partial,both
59,2023,61,Mongolia,East Asia,5.84,1.379,1.494,0.244,0.425,0.239,0.058,2.001,5.93,5.75,2020,81,East Asia,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563,5.535213947,5.377186298,0.3837998769999995,0.06929688499999997,0.011466874000000002,0.035069387999999924,Full,both
60,2023,62,Kyrgyzstan,Commonwealth of Independent States,5.825,1.061,1.439,0.417,0.735,0.234,0.018,1.92,5.913,5.737,2020,74,Commonwealth of Independent States,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652,5.627108097,5.455892086,0.28349990800000047,0.120382235,-0.012466691000000002,0.0979633230000001,Partial,both
61,2023,63,Moldova,Commonwealth of Independent States,5.819,1.425,1.302,0.375,0.61,0.093,0.02,1.995,5.922,5.717,2020,70,Commonwealth of Independent States,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342,5.690360069,5.524640083,0.21149992399999995,0.22042851199999997,0.005621256,0.06468780200000013,Full,both
62,2023,64,China,East Asia,5.818,1.51,1.249,0.468,0.666,0.115,0.145,1.666,5.905,5.731,2020,94,East Asia,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879,5.174667358,5.073132515,0.6941000629999996,0.06439488300000007,0.027744445999999992,0.1169193260000001,Full,both
63,2023,65,Vietnam,Southeast Asia,5.763,1.349,1.212,0.381,0.741,0.134,0.122,1.824,5.865,5.662,2020,83,Southeast Asia,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936,5.41974926,5.287250519,0.40950011099999983,0.09016442599999996,0.03215154099999999,-0.04107476500000007,Full,both
64,2023,66,Paraguay,Latin America and Caribbean,5.738,1.428,1.427,0.392,0.678,0.148,0.062,1.604,5.851,5.625,2020,67,Latin America and Caribbean,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,5.793937683,5.590262413,0.04589995200000008,0.09148993800000005,-0.003077379000000005,0.05880244000000001,Partial,both
65,2023,67,Montenegro,Central and Eastern Europe,5.722,1.537,1.385,0.424,0.563,0.17,0.061,1.581,5.941,5.503,2020,72,Central and Eastern Europe,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882,5.642112255,5.450088024,0.17589986000000035,0.2597761519999999,-0.03743511100000001,0.11934209799999995,Full,both
66,2023,68,Jamaica,Latin America and Caribbean,5.703,1.305,1.329,0.411,0.587,0.079,0.039,1.954,5.876,5.529,2020,60,Latin America and Caribbean,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,6.126157284,5.65344286,-0.1868000719999996,0.033875392999999976,0.008852215,-0.07928919400000001,Full,both
67,2023,69,Bolivia,Latin America and Caribbean,5.684,1.24,1.187,0.329,0.648,0.103,0.06,2.118,5.797,5.572,2020,65,Latin America and Caribbean,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,5.846765041,5.648234844,-0.06349994300000006,0.07353549999999998,-0.012942637000000007,0.04464944599999998,Full,both
68,2023,70,Russia,Commonwealth of Independent States,5.661,1.68,1.383,0.366,0.449,0.12,0.091,1.572,5.734,5.588,2020,73,Commonwealth of Independent States,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743,5.623634815,5.468365192,0.11499999599999988,0.049500405000000025,0.045300638,0.004355891000000112,Full,both
69,2023,71,Bosnia and Herzegovina,Central and Eastern Europe,5.633,1.467,1.361,0.429,0.485,0.247,0.008,1.635,5.775,5.49,2020,69,Central and Eastern Europe,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,5.765016556,5.583183289,-0.0410999219999999,0.17963425899999996,0.006827513,0.157013474,Full,both
